DrawDate,Year,Month,FirstPrize,Last2,Front3_1,Front3_2,Back3_1,Back3_2,Back3_3,Back3_4
2533-01-16,2533,1,3992239,97,,,898,234,288,284
2533-02-01,2533,2,1078496,82,,,756,481,259,104
2533-02-16,2533,2,3732892,01,,,889,596,386,601
2533-03-01,2533,3,4968902,15,,,624,452,087,567
2533-03-16,2533,3,3240205,88,,,443,275,775,559
2533-04-01,2533,4,4734251,39,,,301,637,195,717
2533-04-16,2533,4,5092890,84,,,664,059,912,489
2533-05-02,2533,5,5898868,01,,,186,644,668,078
2533-05-16,2533,5,5071272,34,,,565,815,942,465
2533-06-01,2533,6,2355474,72,,,118,115,227,492
2533-06-16,2533,6,3530344,65,,,878,144,198,371
2533-07-01,2533,7,1076835,43,,,043,641,038,295
2533-07-16,2533,7,3814178,11,,,342,619,112,770
2533-08-01,2533,8,1867185,92,,,579,070,973,445
2533-08-16,2533,8,1671935,43,,,325,746,361,644
2533-09-01,2533,9,1622380,83,,,862,938,161,639
2533-09-16,2533,9,5202390,55,,,461,211,085,747
2533-10-01,2533,10,5738808,37,,,043,977,058,748
2533-10-16,2533,10,5626303,56,,,351,928,923,431
2533-11-01,2533,11,4380230,82,,,694,516,619,829
2533-11-16,2533,11,1226536,06,,,426,020,721,050
2533-12-01,2533,12,4771944,88,,,237,586,692,444
2533-12-16,2533,12,4407799,21,,,708,359,171,238
2533-12-30,2533,12,2190949,05,,,516,367,330,962
2534-01-16,2534,1,5328736,29,,,649,645,225,388
2534-02-01,2534,2,5396496,75,,,079,455,458,087
2534-02-16,2534,2,3223780,33,,,992,658,242,596
2534-03-01,2534,3,4598076,72,,,950,783,676,928
2534-03-16,2534,3,5891641,59,,,540,715,527,866
2534-04-01,2534,4,1606864,03,,,819,416,103,008
2534-04-16,2534,4,4824037,57,,,565,711,970,206
2534-05-02,2534,5,4222124,63,,,536,296,630,836
2534-05-16,2534,5,2532303,63,,,931,269,688,802
2534-06-01,2534,6,2496376,77,,,318,303,485,804
2534-06-16,2534,6,5364632,91,,,370,785,761,268
2534-07-01,2534,7,4441724,58,,,771,134,196,766
2534-07-16,2534,7,1671946,62,,,822,846,951,882
2534-08-01,2534,8,6580541,11,,,459,509,753,947
2534-08-16,2534,8,3746551,89,,,845,377,044,182
2534-09-01,2534,9,6700430,49,,,081,237,661,119
2534-09-16,2534,9,4790449,18,,,114,298,220,381
2534-10-01,2534,10,2730444,96,,,978,318,977,928
2534-10-16,2534,10,2078202,38,,,585,566,338,314
2534-11-01,2534,11,7894285,78,,,516,537,183,272
2534-11-16,2534,11,4373528,08,,,979,477,937,643
2534-12-01,2534,12,1470741,05,,,540,794,006,602
2534-12-16,2534,12,7241436,88,,,613,667,717,597
2534-12-30,2534,12,3208301,76,,,318,087,182,917
2535-01-16,2535,1,1149428,18,,,034,543,672,132
2535-02-01,2535,2,5986924,63,,,936,952,683,944
2535-02-16,2535,2,1868701,94,,,641,849,349,599
2535-03-01,2535,3,7291524,60,,,870,902,024,231
2535-03-16,2535,3,1218353,48,,,004,578,543,737
2535-04-01,2535,4,2244704,03,,,624,863,013,242
2535-04-16,2535,4,2699374,10,,,836,662,139,325
2535-05-02,2535,5,5765397,86,,,079,444,732,104
2535-05-16,2535,5,2827496,59,,,333,738,246,890
2535-06-01,2535,6,5184191,29,,,169,351,245,729
2535-06-16,2535,6,5569432,92,,,392,880,914,221
2535-07-01,2535,7,5119968,56,,,999,813,561,702
2535-07-16,2535,7,7954430,87,,,492,324,756,339
2535-08-01,2535,8,6697778,86,,,712,935,593,575
2535-08-16,2535,8,6234607,91,,,978,251,422,151
2535-09-01,2535,9,1446615,68,,,060,307,125,056
2535-09-16,2535,9,6874108,88,,,221,127,030,623
2535-10-01,2535,10,6379578,71,,,752,765,654,300
2535-10-16,2535,10,3576993,79,,,412,312,037,964
2535-11-01,2535,11,6267821,35,,,879,263,789,046
2535-11-16,2535,11,3685682,45,,,223,632,049,295
2535-12-01,2535,12,7120927,65,,,019,406,153,063
2535-12-16,2535,12,4826531,92,,,945,601,383,851
2535-12-30,2535,12,6662150,23,,,510,563,810,795
2536-01-16,2536,1,5423816,25,,,419,335,947,620
2536-02-01,2536,2,7459337,21,,,171,767,507,986
2536-02-16,2536,2,7549455,41,,,165,031,850,034
2536-03-01,2536,3,4006281,19,,,449,968,065,492
2536-03-16,2536,3,7680699,98,,,554,547,731,509
2536-04-01,2536,4,5825558,89,,,859,255,060,217
2536-04-16,2536,4,5632018,09,,,265,995,970,200
2536-05-02,2536,5,7749508,99,,,532,916,661,783
2536-05-16,2536,5,1633983,53,,,109,740,812,606
2536-06-01,2536,6,3488477,61,,,813,645,011,815
2536-06-16,2536,6,2119871,39,,,146,955,961,223
2536-07-01,2536,7,3820203,29,,,729,189,206,213
2536-07-16,2536,7,5686061,21,,,865,873,702,818
2536-08-01,2536,8,4137744,06,,,273,778,446,905
2536-08-16,2536,8,4088644,86,,,030,260,200,033
2536-09-01,2536,9,2812096,00,,,738,227,181,218
2536-09-16,2536,9,4286755,11,,,296,963,890,504
2536-10-01,2536,10,3415973,26,,,489,401,928,682
2536-10-16,2536,10,7611764,58,,,254,216,684,566
2536-11-01,2536,11,3908940,94,,,701,103,895,626
2536-11-16,2536,11,7515123,82,,,410,507,184,112
2536-12-01,2536,12,3670638,98,,,294,139,959,608
2536-12-16,2536,12,4043500,69,,,646,156,478,253
2536-12-30,2536,12,2669189,72,,,874,902,069,037
2537-01-16,2537,1,4791270,23,,,873,237,845,708
2537-02-01,2537,2,5984685,05,,,173,746,268,396
2537-02-16,2537,2,7679044,76,,,943,520,753,486
2537-03-01,2537,3,3373731,41,,,082,631,008,820
2537-03-16,2537,3,1723336,19,,,382,166,515,185
2537-04-01,2537,4,4269815,29,,,675,035,704,868
2537-04-16,2537,4,7893913,21,,,785,982,151,594
2537-05-02,2537,5,3072877,69,,,535,317,170,521
2537-05-16,2537,5,2071764,29,,,093,544,535,746
2537-06-01,2537,6,3560804,17,,,474,564,989,164
2537-06-16,2537,6,1947355,53,,,302,583,524,669
2537-07-01,2537,7,6568267,39,,,372,902,868,445
2537-07-16,2537,7,5962891,74,,,424,686,628,622
2537-08-01,2537,8,3114057,85,,,396,149,026,758
2537-08-16,2537,8,6504760,28,,,303,724,897,677
2537-09-01,2537,9,6220893,67,,,891,718,949,701
2537-09-16,2537,9,4781931,88,,,046,255,164,886
2537-10-01,2537,10,7128442,23,,,623,251,229,243
2537-10-16,2537,10,7583048,79,,,165,294,428,024
2537-11-01,2537,11,1676779,76,,,110,365,096,840
2537-11-16,2537,11,6095849,82,,,504,902,225,816
2537-12-01,2537,12,6832681,02,,,342,923,448,043
2537-12-16,2537,12,5100040,50,,,654,129,766,544
2537-12-30,2537,12,6284069,90,,,798,713,339,744
2538-01-16,2538,1,922388,40,,,186,667,253,002
2538-02-01,2538,2,198162,48,,,195,087,805,574
2538-02-16,2538,2,869070,95,,,828,597,462,126
2538-03-01,2538,3,411454,71,,,034,019,022,152
2538-03-16,2538,3,646847,67,,,225,044,091,220
2538-04-01,2538,4,427039,06,,,254,926,674,978
2538-04-16,2538,4,053581,99,,,560,968,681,376
2538-05-02,2538,5,504692,88,,,304,886,268,273
2538-05-17,2538,5,220381,55,,,460,597,511,488
2538-06-01,2538,6,105615,17,,,374,735,168,688
2538-06-16,2538,6,046698,82,,,678,785,507,393
2538-07-01,2538,7,939901,19,,,428,940,667,879
2538-07-16,2538,7,248122,96,,,571,085,303,758
2538-08-01,2538,8,464819,59,,,070,274,669,293
2538-08-16,2538,8,265333,51,,,235,455,618,342
2538-09-01,2538,9,620837,83,,,693,872,255,644
2538-09-16,2538,9,876454,51,,,558,297,582,802
2538-10-01,2538,10,317092,76,,,139,819,088,296
2538-10-16,2538,10,322154,86,,,924,192,716,233
2538-11-01,2538,11,282069,07,,,962,564,194,393
2538-11-16,2538,11,239422,85,,,078,883,776,756
2538-12-01,2538,12,714426,74,,,516,427,387,073
2538-12-16,2538,12,952808,68,,,732,540,639,064
2538-12-30,2538,12,327686,04,,,748,456,145,928
2539-01-16,2539,1,318302,21,,,882,444,661,971
2539-02-01,2539,2,256556,26,,,906,705,549,994
2539-02-16,2539,2,681455,49,,,977,664,428,779
2539-03-01,2539,3,304855,72,,,760,664,443,945
2539-03-16,2539,3,019128,27,,,673,796,694,526
2539-04-01,2539,4,660765,90,,,701,338,839,278
2539-04-16,2539,4,049584,77,,,435,222,155,052
2539-05-02,2539,5,247351,54,,,175,234,661,978
2539-05-17,2539,5,978140,75,,,321,443,718,523
2539-06-01,2539,6,869656,81,,,422,126,961,584
2539-06-16,2539,6,318311,21,,,649,118,735,916
2539-07-01,2539,7,625379,76,,,666,298,094,543
2539-07-16,2539,7,332687,91,,,771,547,281,010
2539-08-01,2539,8,151091,61,,,646,650,833,669
2539-08-16,2539,8,352768,19,,,389,932,609,875
2539-09-01,2539,9,470136,02,,,392,666,927,501
2539-09-16,2539,9,814368,59,,,889,818,976,400
2539-10-01,2539,10,947788,97,,,089,166,544,484
2539-10-16,2539,10,198019,18,,,082,270,865,824
2539-11-01,2539,11,512694,24,,,290,432,255,964
2539-11-16,2539,11,951088,21,,,168,349,580,577
2539-12-01,2539,12,179528,66,,,822,365,920,566
2539-12-16,2539,12,593856,44,,,381,755,608,438
2539-12-30,2539,12,879454,26,,,879,314,158,584
2540-01-16,2540,1,151995,47,,,612,257,020,381
2540-02-01,2540,2,750792,57,,,402,771,703,079
2540-02-16,2540,2,499884,94,,,716,247,533,315
2540-03-01,2540,3,976779,98,,,148,414,791,364
2540-03-16,2540,3,100474,36,,,444,822,705,214
2540-04-01,2540,4,617629,52,,,426,162,880,015
2540-04-16,2540,4,551450,92,,,654,165,279,085
2540-05-02,2540,5,388437,38,,,025,656,056,728
2540-05-16,2540,5,088067,52,,,510,621,896,769
2540-06-01,2540,6,643997,24,,,507,918,784,060
2540-06-16,2540,6,537146,61,,,635,769,982,504
2540-07-01,2540,7,676573,11,,,909,620,412,092
2540-07-16,2540,7,509691,67,,,982,623,750,944
2540-08-01,2540,8,054272,31,,,797,145,414,440
2540-08-16,2540,8,156967,30,,,235,957,596,569
2540-09-01,2540,9,083537,59,,,132,319,658,716
2540-09-16,2540,9,527514,98,,,251,335,687,935
2540-10-01,2540,10,444413,24,,,808,689,746,698
2540-10-16,2540,10,405124,98,,,280,356,459,125
2540-11-01,2540,11,974201,39,,,830,877,283,064
2540-11-16,2540,11,875462,99,,,539,573,730,038
2540-12-01,2540,12,241559,86,,,392,982,677,168
2540-12-16,2540,12,294240,71,,,975,762,142,408
2540-12-30,2540,12,675704,65,,,044,327,977,788
2541-01-16,2541,1,947195,34,,,425,185,833,792
2541-02-01,2541,2,665959,48,,,381,685,788,941
2541-02-16,2541,2,612897,69,,,460,234,356,213
2541-03-01,2541,3,236864,74,,,867,285,127,562
2541-03-16,2541,3,572701,79,,,260,852,943,506
2541-04-01,2541,4,496930,66,,,454,563,882,786
2541-04-16,2541,4,146573,17,,,202,153,705,664
2541-05-02,2541,5,663807,72,,,802,946,143,325
2541-05-16,2541,5,840043,63,,,984,258,981,950
2541-06-01,2541,6,820088,67,,,014,649,781,530
2541-06-16,2541,6,858076,19,,,235,316,219,533
2541-07-01,2541,7,595123,65,,,076,101,606,314
2541-07-16,2541,7,599991,52,,,012,401,904,935
2541-08-01,2541,8,748493,22,,,015,001,771,862
2541-08-16,2541,8,081784,91,,,724,464,644,677
2541-09-01,2541,9,872795,96,,,316,042,551,060
2541-09-16,2541,9,065720,65,,,782,584,401,311
2541-10-01,2541,10,987844,18,,,806,286,728,470
2541-10-16,2541,10,261080,74,,,461,935,755,695
2541-11-01,2541,11,920846,29,,,081,316,044,289
2541-11-16,2541,11,270744,20,,,480,763,785,794
2541-12-01,2541,12,836569,58,,,115,075,944,200
2541-12-16,2541,12,181813,55,,,306,175,498,560
2541-12-30,2541,12,464147,50,,,778,094,924,983
2542-01-16,2542,1,190611,13,,,186,543,854,976
2542-02-01,2542,2,342860,69,,,361,048,735,752
2542-02-16,2542,2,307213,41,,,456,091,404,782
2542-03-02,2542,3,660214,58,,,645,612,927,479
2542-03-16,2542,3,577278,63,,,089,418,606,415
2542-04-01,2542,4,479957,92,,,713,471,858,670
2542-04-16,2542,4,625094,35,,,394,432,067,859
2542-05-02,2542,5,691483,45,,,686,003,715,184
2542-05-16,2542,5,618818,16,,,843,074,884,870
2542-06-01,2542,6,077626,08,,,606,177,951,340
2542-06-16,2542,6,278794,63,,,917,422,859,742
2542-07-01,2542,7,386441,67,,,152,987,001,211
2542-07-16,2542,7,070416,03,,,138,349,343,004
2542-08-01,2542,8,056860,98,,,688,064,303,994
2542-08-16,2542,8,340998,65,,,696,333,371,111
2542-09-01,2542,9,591344,33,,,261,237,275,861
2542-09-16,2542,9,807506,46,,,593,268,283,734
2542-10-01,2542,10,830676,80,,,287,215,167,234
2542-10-16,2542,10,410227,28,,,468,304,750,467
2542-11-01,2542,11,561335,03,,,655,882,570,141
2542-11-16,2542,11,764354,14,,,978,723,324,293
2542-12-01,2542,12,669281,79,,,952,896,999,999
2542-12-16,2542,12,139853,30,,,131,688,143,656
2542-12-30,2542,12,051108,03,,,061,263,540,301
2543-01-16,2543,1,442183,82,,,540,950,269,847
2543-02-01,2543,2,530213,85,,,109,926,094,597
2543-02-16,2543,2,729816,91,,,631,916,618,181
2543-03-01,2543,3,997833,63,,,817,250,627,416
2543-03-16,2543,3,164311,65,,,009,460,071,326
2543-04-01,2543,4,963948,99,,,477,535,511,018
2543-04-16,2543,4,836777,63,,,950,273,131,362
2543-05-02,2543,5,070715,20,,,422,287,979,740
2543-05-16,2543,5,009315,56,,,226,035,929,174
2543-06-01,2543,6,592761,16,,,716,705,981,810
2543-06-16,2543,6,825696,57,,,592,832,311,771
2543-07-01,2543,7,674071,29,,,946,761,689,190
2543-07-16,2543,7,931342,43,,,397,237,739,656
2543-08-01,2543,8,267540,18,,,881,930,665,463
2543-08-16,2543,8,459013,57,,,087,378,155,120
2543-09-01,2543,9,437367,52,,,952,290,365,474
2543-09-16,2543,9,046251,05,,,933,806,860,230
2543-10-01,2543,10,290582,26,,,690,436,618,070
2543-10-16,2543,10,620662,39,,,276,607,133,372
2543-11-01,2543,11,093182,90,,,046,606,818,407
2543-11-16,2543,11,565311,10,,,494,381,044,304
2543-12-01,2543,12,887956,56,,,454,664,170,933
2543-12-16,2543,12,969676,91,,,555,267,313,605
2543-12-30,2543,12,119451,31,,,600,763,985,357
2544-01-16,2544,1,737016,36,,,358,515,778,035
2544-02-01,2544,2,454703,13,,,089,437,245,063
2544-02-16,2544,2,621267,47,,,155,275,673,305
2544-03-01,2544,3,836537,85,,,356,147,292,380
2544-03-16,2544,3,633616,45,,,400,773,903,350
2544-04-01,2544,4,640998,49,,,600,061,407,877
2544-04-16,2544,4,140843,28,,,031,952,800,378
2544-05-02,2544,5,205095,64,,,980,543,294,099
2544-05-16,2544,5,091982,61,,,437,507,055,080
2544-06-01,2544,6,113311,80,,,490,983,310,920
2544-06-16,2544,6,762394,75,,,550,395,606,922
2544-07-01,2544,7,107987,34,,,364,296,985,546
2544-07-16,2544,7,820715,50,,,250,171,282,767
2544-08-01,2544,8,180597,11,,,602,086,864,848
2544-08-16,2544,8,690135,10,,,217,717,900,588
2544-09-01,2544,9,119067,14,,,145,294,218,532
2544-09-16,2544,9,616426,82,,,995,806,291,089
2544-10-01,2544,10,104154,15,,,827,303,287,058
2544-10-16,2544,10,975005,48,,,070,626,110,670
2544-11-01,2544,11,683472,52,,,392,081,694,431
2544-11-16,2544,11,685706,74,,,339,976,600,275
2544-12-01,2544,12,737022,49,,,713,461,773,925
2544-12-16,2544,12,224675,19,,,887,538,363,902
2544-12-30,2544,12,729367,64,,,873,974,611,107
2545-01-16,2545,1,709670,14,,,895,116,434,109
2545-02-01,2545,2,633270,40,,,956,414,621,859
2545-02-16,2545,2,330853,92,,,167,820,088,769
2545-03-01,2545,3,805590,55,,,748,715,434,856
2545-03-16,2545,3,659152,04,,,370,066,707,943
2545-04-01,2545,4,990543,57,,,971,430,225,456
2545-04-16,2545,4,522630,37,,,586,949,997,085
2545-05-02,2545,5,590664,56,,,764,739,695,503
2545-05-16,2545,5,598714,76,,,765,725,394,508
2545-06-01,2545,6,161149,02,,,879,643,328,485
2545-06-16,2545,6,073261,07,,,472,156,662,845
2545-07-01,2545,7,481447,24,,,195,517,763,802
2545-07-16,2545,7,340264,69,,,304,632,539,034
2545-08-01,2545,8,493438,88,,,269,645,544,529
2545-08-16,2545,8,120108,57,,,705,173,953,147
2545-09-01,2545,9,994200,51,,,126,799,046,395
2545-09-16,2545,9,156050,85,,,056,889,823,169
2545-10-01,2545,10,802505,72,,,864,567,358,189
2545-10-16,2545,10,428641,51,,,150,401,244,177
2545-11-01,2545,11,505498,25,,,341,297,747,383
2545-11-16,2545,11,915344,55,,,191,843,789,906
2545-12-01,2545,12,968422,37,,,298,088,337,809
2545-12-16,2545,12,019682,67,,,616,312,075,849
2545-12-30,2545,12,895196,95,,,191,116,689,609
2546-01-16,2546,1,977085,06,,,441,535,519,262
2546-02-01,2546,2,456370,94,,,661,429,806,229
2546-02-17,2546,2,455578,61,,,805,496,980,857
2546-03-01,2546,3,441022,42,,,322,026,707,628
2546-03-16,2546,3,653062,64,,,820,208,702,038
2546-04-01,2546,4,933164,86,,,467,863,732,902
2546-04-16,2546,4,892525,21,,,933,906,796,823
2546-05-02,2546,5,135603,12,,,498,870,386,522
2546-05-16,2546,5,552784,20,,,608,048,699,362
2546-06-01,2546,6,766066,36,,,083,523,354,686
2546-06-16,2546,6,389872,29,,,605,995,922,006
2546-07-01,2546,7,461414,91,,,151,878,395,282
2546-07-16,2546,7,679545,75,,,049,589,281,363
2546-08-01,2546,8,766098,91,,,733,856,007,460
2546-08-16,2546,8,354771,00,,,496,271,206,624
2546-09-01,2546,9,187813,92,,,661,918,793,249
2546-09-16,2546,9,600589,53,,,909,356,996,494
2546-10-01,2546,10,912040,43,,,407,100,379,563
2546-10-16,2546,10,305500,03,,,109,012,084,470
2546-11-01,2546,11,941438,47,,,866,156,216,264
2546-11-16,2546,11,238511,68,,,155,767,594,474
2546-12-01,2546,12,991307,78,,,945,719,559,217
2546-12-16,2546,12,177947,87,,,676,847,735,571
2546-12-30,2546,12,739447,64,,,654,435,743,216
2547-01-16,2547,1,731342,96,,,025,357,926,391
2547-02-01,2547,2,216822,77,,,361,242,769,765
2547-02-16,2547,2,698002,00,,,877,309,798,072
2547-03-01,2547,3,697483,50,,,610,510,759,206
2547-03-16,2547,3,615366,69,,,779,094,478,830
2547-04-01,2547,4,196391,62,,,808,918,257,851
2547-04-16,2547,4,705832,12,,,008,966,634,721
2547-05-02,2547,5,653403,91,,,385,550,822,101
2547-05-16,2547,5,589207,13,,,492,992,526,253
2547-06-01,2547,6,614144,72,,,990,776,425,992
2547-06-16,2547,6,208713,87,,,414,911,459,986
2547-07-01,2547,7,312471,66,,,313,598,664,261
2547-07-16,2547,7,205588,25,,,696,726,461,154
2547-08-02,2547,8,868990,45,,,956,811,510,377
2547-08-16,2547,8,335921,59,,,114,082,559,288
2547-09-01,2547,9,096597,70,,,709,929,014,456
2547-09-16,2547,9,923373,59,,,295,888,774,867
2547-10-01,2547,10,110866,66,,,200,547,781,806
2547-10-16,2547,10,355858,62,,,162,200,438,890
2547-11-01,2547,11,185966,23,,,862,137,745,661
2547-11-16,2547,11,754622,64,,,918,019,744,904
2547-12-01,2547,12,504658,69,,,139,014,984,691
2547-12-16,2547,12,479372,17,,,288,075,999,183
2547-12-30,2547,12,168858,28,,,221,603,627,179
2548-01-16,2548,1,335022,08,,,689,291,039,479
2548-02-01,2548,2,540054,34,,,389,180,863,571
2548-02-16,2548,2,816422,53,,,086,356,192,065
2548-03-01,2548,3,800751,93,,,681,714,998,669
2548-03-16,2548,3,196345,03,,,073,601,783,394
2548-04-01,2548,4,815753,69,,,482,381,224,807
2548-04-16,2548,4,119327,10,,,081,968,346,627
2548-05-02,2548,5,772467,43,,,017,383,815,073
2548-05-16,2548,5,867134,97,,,376,648,465,693
2548-06-01,2548,6,176893,35,,,176,579,616,405
2548-06-16,2548,6,793070,44,,,806,021,074,605
2548-07-01,2548,7,009554,87,,,798,427,641,244
2548-07-16,2548,7,477452,13,,,757,150,460,642
2548-08-01,2548,8,961633,26,,,055,152,386,272
2548-08-16,2548,8,475560,68,,,272,844,103,915
2548-09-01,2548,9,316933,17,,,123,338,969,047
2548-09-16,2548,9,214768,10,,,498,282,124,057
2548-10-01,2548,10,766482,24,,,766,551,792,275
2548-10-16,2548,10,041072,71,,,346,913,410,269
2548-11-01,2548,11,970577,98,,,171,375,009,216
2548-11-16,2548,11,742518,80,,,502,741,887,137
2548-12-01,2548,12,388551,17,,,072,764,027,770
2548-12-16,2548,12,449565,86,,,802,162,958,994
2548-12-30,2548,12,492955,94,,,066,308,742,150
2549-01-16,2549,1,432747,79,,,222,789,965,200
2549-02-01,2549,2,412729,87,,,915,720,149,384
2549-02-16,2549,2,317009,66,,,784,240,135,280
2549-03-01,2549,3,582473,43,,,586,801,108,914
2549-03-16,2549,3,936177,30,,,486,185,205,320
2549-04-01,2549,4,738365,95,,,064,955,301,522
2549-04-16,2549,4,038564,49,,,210,442,769,877
2549-05-02,2549,5,024554,27,,,006,438,082,117
2549-05-16,2549,5,100344,71,,,386,463,811,696
2549-06-01,2549,6,810850,99,,,526,149,382,664
2549-06-16,2549,6,100935,17,,,381,410,595,250
2549-07-01,2549,7,952890,65,,,126,183,017,839
2549-07-16,2549,7,512434,48,,,989,098,518,432
2549-08-01,2549,8,238654,88,,,847,005,817,487
2549-08-16,2549,8,977486,91,,,221,305,230,103
2549-09-01,2549,9,381761,44,,,600,693,093,626
2549-09-16,2549,9,217948,41,,,916,290,864,121
2549-10-01,2549,10,952335,92,,,007,804,879,951
2549-10-16,2549,10,264825,58,,,903,092,358,832
2549-11-01,2549,11,910957,29,,,647,739,137,905
2549-11-16,2549,11,562856,94,,,508,307,680,347
2549-12-01,2549,12,270052,12,,,621,462,091,236
2549-12-16,2549,12,147977,45,,,439,694,647,197
2549-12-30,2549,12,778584,07,,,811,403,164,971
2550-01-16,2550,1,838739,55,,,293,263,845,803
2550-02-01,2550,2,769925,56,,,893,239,287,865
2550-02-16,2550,2,277859,95,,,625,607,979,384
2550-03-01,2550,3,742425,61,,,949,294,942,801
2550-03-16,2550,3,876763,85,,,191,001,906,350
2550-04-01,2550,4,622780,93,,,677,794,814,022
2550-04-16,2550,4,405105,63,,,013,987,866,522
2550-05-02,2550,5,430374,81,,,553,442,881,729
2550-05-16,2550,5,232897,25,,,924,858,751,585
2550-06-01,2550,6,836393,05,,,739,242,523,433
2550-06-16,2550,6,393194,41,,,989,907,424,589
2550-07-01,2550,7,565151,76,,,146,287,638,949
2550-07-16,2550,7,527384,77,,,105,183,334,947
2550-08-01,2550,8,429924,29,,,006,048,885,962
2550-08-16,2550,8,476207,93,,,234,236,312,424
2550-09-01,2550,9,331810,69,,,293,505,518,520
2550-09-16,2550,9,499336,45,,,247,273,604,608
2550-10-01,2550,10,430667,76,,,090,104,126,667
2550-10-16,2550,10,032988,48,,,158,663,685,846
2550-11-01,2550,11,927907,88,,,213,277,524,648
2550-11-16,2550,11,562481,73,,,130,198,752,844
2550-12-01,2550,12,113410,18,,,418,485,627,659
2550-12-16,2550,12,513501,96,,,425,432,460,702
2550-12-30,2550,12,595411,81,,,267,490,741,787
2551-01-16,2551,1,556010,81,,,413,548,942,965
